parent_asin,brand,price,avg_rating,review_count,price_range,expected_rating,rating_residual,review_bucket
B07G9GWFSM,Lurrose,6.99,3.7,35,5-10,4.168632566477152,-0.4686325664771518,"(20, 50]"
B01ERJEGS6,Balmain,86.95,3.7,2,50-100,4.191826164063195,-0.4918261640631947,"(0, 5]"
B08X7JHQG5,BioMiracle,5.99,4.4,52,5-10,4.168342501474825,0.23165749852517514,"(50, 100]"
B07X1TK3VS,VIROCHEMISTRY,29.8,3.7,33,20-50,4.175248949180224,-0.47524894918022387,"(20, 50]"
B004ZWH3XG,Garnier,24.0,4.4,17,20-50,4.173566572166728,0.22643342783327203,"(10, 20]"
B07DRZLZQQ,Enjoy Hair Care Products,22.49,5.0,1,20-50,4.173128574013216,0.8268714259867842,"(0, 5]"
B071G4NNH7,Sharonelle,50.0,4.0,1,20-50,4.181108262227223,-0.1811082622272231,"(0, 5]"
B005DT7YP2,Raven Moonlight,2.5,3.5,3,0-5,4.167330174616705,-0.6673301746167049,"(0, 5]"
B07QNGTSYY,Serge Lutens,9.9,3.2,5,5-10,4.169476655633923,-0.9694766556339225,"(0, 5]"
B07R7YWQKW,House of Armáf,24.84,5.0,7,20-50,4.173810226768683,0.8261897732313166,"(5, 10]"
B00BX9KND6,Gojo,136.17,5.0,1,100-200,4.206103163477715,0.7938968365222854,"(0, 5]"
B07KFGWC8S,Amope,12.0,4.5,1020,10-20,4.170085792138808,0.32991420786119185,"(500, 10000]"
B08G7WN5BM,KEMEISI,6.99,2.8,6,5-10,4.168632566477152,-1.3686325664771521,"(5, 10]"
B0058WE96Q,Clear Essence,12.0,4.4,64,10-20,4.170085792138808,0.2299142078611922,"(50, 100]"
B07N9715WM,African Pride,9.99,3.7,23,5-10,4.169502761484131,-0.46950276148413117,"(20, 50]"
B076QMVRS9,Avena,20.51,5.0,2,20-50,4.172554245308609,0.8274457546913911,"(0, 5]"
B01KGIFJSS,Specialized Care Co Inc,17.5,4.5,185,10-20,4.171681149651605,0.3283188503483947,"(100, 500]"
B0924GT395,OSRSR,17.49,4.5,107,10-20,4.171678249001582,0.328321750998418,"(100, 500]"
B07YBLFFW5,Shimmer Anna Shine,6.99,4.4,133,5-10,4.168632566477152,0.2313674335228484,"(100, 500]"
B00759LVR0,J. LeBlanc,59.12,5.0,1,50-100,4.183753655048442,0.8162463449515576,"(0, 5]"
B00QPOZPSM,Reliamed,11.69,4.1,18,10-20,4.169995871988087,-0.06999587198808754,"(10, 20]"
B06ZZMXS8W,Skully's Ctz Beard Oil,18.99,5.0,1,10-20,4.172113346505072,0.8278866534949278,"(0, 5]"
B0754HBCRK,essie,12.5,4.7,18,10-20,4.1702308246399715,0.5297691753600287,"(10, 20]"
B01DABT1AU,Glamorous Collection,7.0,2.9,9,5-10,4.168635467127175,-1.2686354671271753,"(5, 10]"
B07RWNW9GV,x-pression,30.36,4.2,6,20-50,4.175411385581526,0.02458861441847393,"(5, 10]"
B08HR5PDN6,Orly,8.05,3.0,2,5-10,4.1689400353796175,-1.1689400353796175,"(0, 5]"
B08HGQT46C,wendunide,7.99,2.7,18,5-10,4.168922631479479,-1.4689226314794785,"(10, 20]"
B0113BF8NI,L'Oreal Paris,10.99,4.9,4,10-20,4.169792826486458,0.7302071735135423,"(0, 5]"
B00CF2P7AY,Corrine,22.88,4.7,450,20-50,4.173241699364123,0.5267583006358771,"(100, 500]"
B00VKEV0L8,IBD,34.95,4.5,16,20-50,4.176742783942206,0.3232572160577938,"(10, 20]"
B07Y9JG82G,NUOBESTY,15.49,4.4,39,10-20,4.1710981189969285,0.22890188100307185,"(20, 50]"
B072N95X6P,Parfums De Coeur,27.99,4.7,592,20-50,4.174723931526012,0.5252760684739881,"(500, 10000]"
B07W5S82Y5,Salerm,33.72,4.5,88,20-50,4.176386003989344,0.3236139960106561,"(50, 100]"
B07SY84DPP,VIVID STELLA,7.42,3.8,112,5-10,4.168757294428152,-0.3687572944281525,"(100, 500]"
B08MVFKSQ8,MoYo Natural Labs,8.99,4.1,186,5-10,4.169212696481805,-0.06921269648180495,"(100, 500]"
B07PFH92HN,Fashion Zone,24.99,3.9,1960,20-50,4.173853736519032,-0.2738537365190319,"(500, 10000]"
B07DLGQBF5,BECCA,78.49,4.2,17,50-100,4.189372214143511,0.010627785856489602,"(10, 20]"
B00MGLADU8,VAGA,3.99,3.4,14,0-5,4.167762371470172,-0.7677623714701718,"(10, 20]"
B077MWYVLC,Bielenda,35.0,4.6,39,20-50,4.176757287192323,0.423242712807677,"(20, 50]"
B06W2K5ZFX,Asquith & Somerset,17.99,3.8,6,10-20,4.171823281502745,-0.3718232815027456,"(5, 10]"
B0C5V83YMB,YouClean,13.87,3.6,35,10-20,4.170628213693159,-0.5706282136931589,"(20, 50]"
B08543WQLC,Hempz,13.18,4.8,5,10-20,4.170428068841554,0.6295719311584458,"(0, 5]"
B0777W6C4X,tweexy,14.99,4.6,960,10-20,4.170953086495765,0.4290469135042345,"(500, 10000]"
B07SSFL9T5,CANMAKE,10.0,4.0,31,5-10,4.169505662134155,-0.16950566213415463,"(20, 50]"
B01DTU7VM2,Boston Nail Art,4.19,5.0,2,0-5,4.1678203844706365,0.8321796155293635,"(0, 5]"
B08RBDB6ZT,Fashiontats,6.95,4.6,301,5-10,4.168620963877059,0.4313790361229408,"(100, 500]"
B083TPC3HN,Mise En Scene,12.5,4.1,61,10-20,4.1702308246399715,-0.07023082463997188,"(50, 100]"
B07RW78DS8,Cherubb,32.99,4.7,332,20-50,4.176174256537646,0.5238257434623543,"(100, 500]"
B08B2Q6BJ7,CHARLOTTE TILBURY,40.99,4.7,24,20-50,4.178494776556259,0.5215052234437412,"(20, 50]"
B07G2P4K7D,M.A.C,45.6,3.3,25,20-50,4.1798319762169855,-0.8798319762169857,"(20, 50]"
B082BJYV38,MAC,23.89,4.2,4,20-50,4.173534665016473,0.0264653349835271,"(0, 5]"
B01AY42P36,VAGA,3.99,3.9,69,0-5,4.167762371470172,-0.2677623714701718,"(50, 100]"
B00454W6XG,Sally Hansen,11.99,4.2,9,10-20,4.170082891488785,0.029917108511215318,"(5, 10]"
B00YE966A6,TRiBUTE8,19.9,3.8,32,10-20,4.172377305657189,-0.3723773056571895,"(20, 50]"
B0192BX5WC,Sarangsae,18.6,4.1,2,10-20,4.172000221154165,-0.07200022115416527,"(0, 5]"
B0147I957O,Annie,6.99,3.6,13,5-10,4.168632566477152,-0.5686325664771519,"(10, 20]"
B002GIBVL6,K.C. Sales,3.42,1.0,1,0-5,4.167597034418845,-3.1675970344188453,"(0, 5]"
B08GZWJVR4,dongjing,16.98,1.0,1,10-20,4.171530315850395,-3.1715303158503954,"(0, 5]"
B000VMGAD8,AVON,45.0,4.0,6,20-50,4.179657937215589,-0.17965793721558931,"(5, 10]"
B01N21HAYJ,ChromaLights,6.25,3.9,6,5-10,4.16841791837543,-0.26841791837542983,"(5, 10]"
B00G6KAQIE,Biotique,21.0,4.3,1578,20-50,4.172696377159749,0.12730362284025087,"(500, 10000]"
B07V8GH8D7,Bobbi Brown,24.99,3.7,23,20-50,4.173853736519032,-0.4738537365190316,"(20, 50]"
B09JC2GTVD,TIANG,4.5,4.5,714,0-5,4.167910304621358,0.33208969537864164,"(500, 10000]"
B07GTQVVDJ,OSEA,17.95,3.7,16,10-20,4.171811678902652,-0.4718116789026521,"(10, 20]"
B086H1VGC9,Tru Fragrance & Beauty,27.99,4.2,30,20-50,4.174723931526012,0.02527606847398811,"(20, 50]"
B07JCDP7KV,NIVEA,18.99,4.1,27,10-20,4.172113346505072,-0.0721133465050725,"(20, 50]"
B08C7BCB6P,SuperiMan,9.9,4.4,561,5-10,4.169476655633923,0.2305233443660777,"(500, 10000]"
B01IW03FLU,NYX PROFESSIONAL MAKEUP,7.69,4.7,6,5-10,4.16883561197878,0.53116438802122,"(5, 10]"
B0777QHNLR,OxygenCeuticals,88.0,4.1,22,50-100,4.192130732315637,-0.09213073231563751,"(20, 50]"
